"Category","Category code"
"CARPENTRY","CT"
"FOAM & SOFA FURNISING","FS"
"CANE & BAMBOO WORKS","CB"
"CIVIL & AGGREGATES","CA"
"ELECTRICAL","EL"
"ELECTRONICS & APPLICANCES","EA"
"FURNISHING MATERIALS","FM"
"FURNITURES","FN"
"GLASS & MIRROR","GM"
"HARDWARE","HW"
"HOUSE KEEPING / CLEANING MATERIALS","HK"
"HVAC","AC"
"LIGHT FIXTURES","LF"
"METAL & FABRICATION MATERIALS","MF"
"PACKING MATERILAS","PK"
"PAINTING","PT"
"PLUMBING","PU"
"POP & CEILING","PC"
"PPE KIT","SM"
"SANITARY & FIXTURES","SF"
"SOLID WOOD","SW"
"STATIONARY","SA"
"STONES","SO"
"TILES","TL"
"TOOLS & MACHINERY","TM"
"FF","FF"
"NN","NN"
